STATUS,DESCRIPTION,CATEGORY_DESCRIPTION,OBJECT_TYPE_DESCRIPTION,Shape_X,Shape_Y,WKT
OPEN,Thomas River Hut,Buildings,Basic Hut/bivvy,169.195091887,-43.8937341948,POINT (169.195091886842931 -43.893734194833357)
OPEN,Ivory Lake Hut,Buildings,Basic Hut/bivvy,170.912613675,-43.1349875982,POINT (170.912613675179529 -43.134987598182811)
OPEN,Middle Gorge Hut,Buildings,Standard Hut,170.462115871,-43.764992121,POINT (170.462115870683334 -43.764992121007083)
OPEN,Wheel Creek Hut,Buildings,Basic Hut/bivvy,172.131761739,-42.070756958,POINT (172.131761738911791 -42.070756958001212)
OPEN,Tarn Bivvy,Buildings,Basic Hut/bivvy,176.14408304,-39.8836912698,POINT (176.144083040494223 -39.883691269846892)
OPEN,Palmer Hut,Buildings,Standard Hut,173.259824429,-42.2902063364,POINT (173.259824429448486 -42.290206336375448)
OPEN,Siberia Hut,Buildings,Standard Hut,173.074771532,-41.880219728,POINT (173.074771531549857 -41.880219728012555)
OPEN,YANKEE RIVER HUT,Buildings,Standard Hut,167.888210886,-46.6947454102,POINT (167.888210886429135 -46.694745410221607)
OPEN,Whanganui Hut,Buildings,Great Walk Hut,177.040257955,-38.7205213378,POINT (177.040257955300973 -38.720521337798331)
OPEN,Te Puke (Te Pukeohikarua) Hut,Buildings,Standard Hut,176.276470566,-39.1930773455,POINT (176.276470566336002 -39.193077345461312)
OPEN,Waihohonu Hut,Buildings,Great Walk Hut,175.679742448,-39.2094615622,POINT (175.679742447626921 -39.209461562163007)
OPEN,Top Robinson Hut,Buildings,Standard Hut,172.179414211,-42.4781853685,POINT (172.17941421086033 -42.478185368487011)
OPEN,Lane Cove Hut,Buildings,Serviced Hut,173.730950617,-35.0124156512,POINT (173.730950617028014 -35.012415651235443)
OPEN,Poor Pete's Hut,Buildings,Basic Hut/bivvy,172.322231108,-41.6143571572,POINT (172.322231107692033 -41.614357157242665)
OPEN,Kylie Bivvy,Buildings,Basic Hut/bivvy,176.199587205,-39.6797535809,POINT (176.199587204773337 -39.67975358088011)
OPEN,Mungo Hut,Buildings,Basic Hut/bivvy,171.196254286,-43.0260204595,POINT (171.196254286442354 -43.026020459540824)
OPEN,Arete Hut,Buildings,Basic Hut/bivvy,175.437113825,-40.7486348013,POINT (175.437113825482413 -40.748634801287757)
OPEN,Dynamo Hut,Buildings,Standard Hut,168.662508722,-44.8012524174,POINT (168.662508722028292 -44.80125241738736)
OPEN,Marauiti Hut,Buildings,Great Walk Hut,176.995922706,-38.7676587999,POINT (176.995922706235206 -38.767658799943575)
OPEN,South Ohau Hut,Buildings,Standard Hut,175.389855788,-40.717854212,POINT (175.389855788009044 -40.717854212002642)
OPEN,Belltown Manunui Hut,Buildings,Standard Hut,172.236943342,-41.3497982578,POINT (172.236943342155968 -41.349798257751004)
OPEN,Puketeraki Bivvy,Buildings,Basic Hut/bivvy,171.973420338,-43.1119844285,POINT (171.973420338449671 -43.111984428482849)
OPEN,Christmas Flat Hut,Buildings,Standard Hut,169.90764434,-43.7188944347,POINT (169.907644339651256 -43.718894434662381)
OPEN,County Stream Hut,Buildings,Basic Hut/bivvy,170.850326595,-43.1581458321,POINT (170.850326595311998 -43.158145832106158)
OPEN,Martin's Hut,Buildings,Basic Hut/bivvy,167.859972302,-46.2616221498,POINT (167.859972302218637 -46.261622149839255)
OPEN,Stony Stream Bivvy,Buildings,Basic Hut/bivvy,172.62780081,-42.4634343851,POINT (172.627800810339295 -42.463434385111178)
OPEN,Casino Hut,Buildings,Basic Hut/bivvy,176.907942684,-38.314127999,POINT (176.907942684024022 -38.314127998957318)
OPEN,Larrikin Creek Hut,Buildings,Standard Hut,172.315612872,-41.5602925253,POINT (172.315612872359367 -41.560292525349325)
OPEN,Cassel Flat Hut,Buildings,Standard Hut,169.826856017,-43.6584893401,POINT (169.826856016903548 -43.658489340102896)
OPEN,Johnson Hut,Buildings,Basic Hut/bivvy,172.276688814,-41.4674227318,POINT (172.276688813715111 -41.467422731750581)
OPEN,Riordans Hut,Buildings,Basic Hut/bivvy,172.742788666,-41.0454831054,POINT (172.742788665557669 -41.045483105419663)
